ancient, old
rage, fury
brave, courageous
loathe, despise
vanish, disappear
enormous, gigantic
slay, kill
gaze, stare
knowledge, wisdom
joy, elation
obtain, acquire
create, generate
destroy, annihilate
conceal, hide
sorrow, grief
anger, wrath
revere, worship
rapid, swift
begin, commence
cease, halt
ascend, climb
vast, immense
consume, devour
dread, terror
insight, comprehension
delight, bliss
obtain, procure
construct, build
vision, sight
despise, abhor
grasp, seize
origin, source
anguish, torment
gleam, shine
expertise, mastery
start, commence
perish, expire
conceal, veil
gargantuan, colossal
loathe, detest
obscure, hidden
intuition, perception
ecstasy, euphoria
acquire, gain
generate, create
eradicate, obliterate
cloak, disguise
anguish, agony
rage, fury
venerate, adore
nimble, swift
initiate, begin
terminate, cease
ascend, scale
immense, mammoth
ingest, devour
horror, dread
wisdom, understanding
bliss, rapture
secure, obtain
erect, construct
vision, eyesight
abhor, despise
seize, grasp
inception, origin
torment, anguish
radiant, brilliant
expertise, proficiency
commence, start
expire, perish
conceal, shroud
colossal, gigantic
detest, abhor
hidden, obscure
perception, intuition
euphoria, ecstasy
gain, acquire
generate, produce
annihilate, eradicate
disguise, cloak
agony, anguish
