accidental, unintended
accurate, precise
add, include
advance, progress
afraid, scared
allow, permit
already, previously
also, too
always, constantly
ancient, old
angry, furious
announce, declare
answer, respond
anxious, worried
apparent, obvious
apply, use
argue, debate
arise, occur
arrange, organize
arrive, reach
assume, presume
attempt, try
attend, participate
attention, focus
attribute, characteristic
avoid, evade
aware, conscious
bad, evil
bag, container
balance, equilibrium
beautiful, attractive
begin, start
belief, faith
benefit, advantage
best, optimal
betrayal, deception
better, superior
between, among
bind, attach
bit, piece
blame, fault
blend, mix
block, obstruct
blood, crimson
blow, strike
body, physical
boil, heat
bold, brave
born, origin
bottom, base
bound, restricted
brave, courageous
bread, loaf
break, fracture
briefly, momentarily
bright, luminous
bring, carry
broken, shattered
build, construct
burden, weight
busy, occupied
buy, purchase
call, summon
calm, tranquil
capable, able
capital, wealth
capture, seize
care, attention
case, instance
casual, informal
cause, reason
certain, definite
chain, link
challenge, test
chance, opportunity
change, alter
character, nature
charge, accuse
cheap, inexpensive
check, verify
choice, option
circle, round
city, urban
claim, assert
clean, pure
clear, evident
clever, intelligent
climb, ascend
close, near
closed, sealed
clothes, garments
cloud, mist
code, cipher
collect, gather
color, hue
comfort, solace
command, order
common, ordinary
company, corporation
compare, contrast
compete, rival
complain, grumble
complete, finish
complex, intricate
concentrate, focus
conclusion, result
condition, state
conduct, behavior
confident, assured
confine, restrict
conflict, clash
connect, link
conscious, aware
consider, reflect
consume, use
contain, hold
continue, persist
contract, agreement
contrast, difference
control, regulate
convenience, ease
convince, persuade
copy, duplicate
core, center
correct, right
corrupt, immoral
cost, expense
count, enumerate
couple, pair
courage, bravery
cover, conceal
crack, crevice
create, produce
crime, felony
crisis, emergency
critical, essential
cross, intersect
crowd, multitude
cruel, heartless
crush, compress
cry, weep
culture, civilization
curious, inquisitive
current, present
curse, condemn
custom, tradition
cut, divide
damage, harm
dare, challenge
dark, gloomy
data, information
daughter, female
day, daylight
dead, lifeless
deal, transaction
death, demise
debate, discuss
debt, liability
decay, deteriorate
decide, determine
decline, decrease
deep, profound
defense, shield
define, describe
delay, postpone
deliver, provide
demand, require
demonstrate, show
deny, reject
depart, leave
depend, rely
depict, represent
deplorable, abhorrent
depressed, gloomy
desire, want
destroy, demolish
detail, specificity
detect, discover
determined, resolute
develop, evolve
die, perish
difference, contrast
difficult, challenging
dig, excavate
digital, electronic
diligent, industrious
dim, faint
direction, course
dirty, filthy
disability, impairment
disappear, vanish
discard, dispose
discover, uncover
discuss, debate
disease, illness
disgrace, shame
disguise, conceal
dismiss, ignore
disorder, chaos
display, exhibit
disrupt, disturb
distinct, separate
distribute, allocate
disturb, upset
diverse, varied
divide, split
document, record
dog, canine
doubt, uncertainty
draft, sketch
drain, deplete
draw, sketch
dream, fantasy
dress, garment
drink, beverage
drive, compel
drop, fall
drown, submerge
dull, boring
dump, discard
duty, obligation
eager, enthusiastic
early, premature
earn, acquire
ease, comfort
edge, border
educate, teach
effect, result
effort, exertion
either, or
elate, delight
electric, electronic
elegant, refined
element, component
embarrass, shame
emotion, feeling
employ, use
empty, void
enable, allow
encounter, meet
energetic, lively
engage, participate
enjoy, appreciate
enormous, gigantic
enough, sufficient
enrage, infuriate
ensure, guarantee
enter, access
environment, surroundings
equal, equivalent
equipment, gear
erase, delete
error, mistake
escape, flee
establish, create
esteem, respect
evaluate, assess
event, occurrence
eventually, ultimately
evidence, proof
evil, malicious
evolve, develop
exact, precise
examine, inspect
exceed, surpass
excellent, superb
except, exclude
excess, surplus
excite, stimulate
excuse, justify
execute, perform
exempt, exclude
exercise, activity
exhaust, deplete
exist, be
expand, extend
